project_id,project_name,manager_name,department,description,required_skills,desired_skills,hours_needed,duration_weeks,industry_context
PROJ001,Market Sizing for APAC Expansion,Sarah Chen,Strategy,Conduct a bottom-up market sizing analysis for the company's potential expansion into three APAC markets. Deliverable is a PowerPoint deck with addressable market estimates and competitive landscape.,Market Research;PowerPoint;Framework Development;Competitive Analysis,Financial Modeling;Python;SQL;Industry Research,20,2,Corporate strategy team evaluating geographic expansion. Requires ability to synthesize ambiguous data and present to C-suite.
PROJ002,Customer Churn Prediction Model,Raj Mehta,Data Science,Build and validate a machine learning model to predict customer churn 60 days in advance using behavioral and transactional data. Requires familiarity with Python and classification models.,Python;Machine Learning;SQL;Statistical Modeling,Feature Engineering;Data Visualization;MLOps;Product Analytics,30,3,SaaS business unit with 500K active subscribers. Churn is the primary KPI for the VP of Customer Success.
PROJ003,Sales Compensation Plan Redesign,Michelle Torres,HR,Audit the current sales incentive structure and draft a proposal for a revised compensation plan that better aligns with the new product portfolio. Involves data analysis and cross-functional interviews.,Compensation Analysis;Excel;Data Analysis;Stakeholder Communication,Sales Operations;SQL;Financial Modeling;Presentation Skills,15,2,Sales team of 80 reps across three product lines. Current plan was last updated 3 years ago and doesn't reflect current GTM motion.
PROJ004,Vendor Contract Renegotiation Support,David Park,Legal,Support the procurement team in renegotiating three key vendor contracts. Role involves reviewing existing terms, benchmarking market rates, and drafting redlines.,Contract Negotiation;Regulatory Compliance;Risk Assessment;Document Review,Financial Modeling;Vendor Management;Excel;Commercial Negotiations,20,3,Annual procurement spend of $45M across 30 vendors. Key contracts expire in Q3 and need to be reviewed before auto-renewal.
PROJ005,Internal Dashboard for Ops Metrics,James Okafor,Operations,Design and build a Power BI dashboard to consolidate key operational KPIs currently scattered across six different spreadsheets. Dashboard must refresh automatically from SQL source.,SQL;Power BI;KPI Reporting;Data Visualization,ETL;Python;Process Mapping;Business Intelligence,25,3,Operations team of 40 people managing manufacturing and logistics. Leadership currently spends 10 hours per week manually compiling reports.
PROJ006,Brand Refresh Campaign Creative Brief,Sandra Liu,Marketing,Lead the development of a creative brief for a brand refresh campaign targeting a new Gen Z demographic. Involves consumer research synthesis and agency briefing.,Brand Strategy;Consumer Research;Copywriting;Campaign Management,Data Analytics;Social Media Strategy;Design Thinking;A/B Testing,12,2,Consumer brand undergoing a positioning refresh after entering the premium tier. Creative agency has been retained and needs direction.
PROJ007,Financial Model for New Product Line,Tom Nguyen,Finance,Build a 5-year P&L model for a proposed new product line including revenue projections, COGS assumptions, and scenario analysis. Deliverable supports a Board-level investment decision.,Financial Modeling;Excel;Scenario Analysis;Management Reporting,Python;SQL;DCF Analysis;Unit Economics,20,2,Hardware product team launching into a new vertical. CFO presentation is in 6 weeks. Model needs to be Board-ready with sensitivity tables.
PROJ008,API Integration for CRM and Marketing Stack,Kyle Jensen,Engineering,Develop and test a REST API integration between Salesforce CRM and the marketing automation platform. Scope includes data mapping, error handling, and documentation.,Python;REST APIs;SQL;Git;API Design,Salesforce;Marketing Automation;Node.js;Unit Testing,35,4,RevOps initiative to create a single source of truth for customer data. Currently there are 3-day data lags between systems causing campaign errors.
PROJ009,ESG Disclosure Report Drafting,Patricia Moore,Legal,Draft the company's first public ESG disclosure report following the new SEC climate disclosure framework. Requires synthesizing data from multiple internal teams and translating into compliant disclosures.,Regulatory Compliance;Policy Development;Risk Framework Design;Document Review,ESG Reporting;Data Analysis;Financial Modeling;Stakeholder Communication,30,4,Public company with $2B revenue. The board's audit committee has mandated a compliant ESG disclosure by Q4. First-time effort with no existing template.
PROJ010,Onboarding Experience Redesign,Angela Fischer,HR,Map and redesign the end-to-end new employee onboarding journey for the engineering function. Deliverable includes a revised 30-60-90 day plan and updated tooling recommendations.,Talent Acquisition;HRIS Systems;Process Mapping;Stakeholder Management,People Analytics;UX Research;Agile;Change Management,20,3,Engineering org doubled in size last year via acquisitions. New hire satisfaction scores are 30% below company average due to fragmented onboarding.
PROJ011,Demand Forecasting for Q3 Inventory,Carlos Rivera,Operations,Build and validate a demand forecasting model for Q3 using historical sales data and external signals. Output feeds directly into the inventory purchasing plan.,Excel;Inventory Optimization;Data Analysis;KPI Reporting,Python;Statistical Modeling;SQL;Demand Forecasting,15,2,Consumer goods division with 200 SKUs. Last Q, a forecasting error led to $3M in excess inventory. Finance and Ops must align on methodology.
PROJ012,Go-to-Market Plan for EU Market Entry,Nina Larsson,Strategy,Develop a go-to-market strategy for entering two EU markets, including regulatory requirements, channel strategy, and a 12-month revenue ramp model.,Market Research;Market Entry Analysis;Competitive Analysis;PowerPoint,Financial Modeling;Regulatory Compliance;Partnership Development;Executive Communication,25,3,B2B SaaS company with 95% US revenue base. Board has approved EU expansion budget; strategy team needs a rigorous entry plan by end of quarter.
